run 20260907_054420  commit 72361f8  Darwin 24.6.0 arm64 / 8 cpu  nodes=5  election=300ms hb=75ms tick=25ms

trial  recovery_gap_ms
1      440.0
2      573.0
3      600.8
4      434.1
5      470.2
6      520.0
7      451.5
8      522.9
9      552.1
10      577.6
11      528.0
12      446.7
13      444.8
14      536.8
15      520.5
16      521.9
17      447.9
18      483.8
19      502.1
20      487.3
21      480.5
22      504.4
23      534.4
24      532.4
25      537.2
recovery gap ms: n=25 median=520 p95=577 worst=601 best=434
